490,20,463,18,445,-2,-0.7220453471327982
433,-3,445,-2,463,18,-0.7283811847613485
330,112,342,91,360,57,-0.9994801143396999
370,40,360,57,342,91,-0.9989955352668409
432,110,429,121,421,145,-0.9984603532054125
425,172,421,145,429,121,-0.8920980473997779
258,92,247,104,230,115,-0.9677781614188667
211,142,230,115,247,104,-0.9274414720324122
340,198,301,196,282,188,-0.9403001223834289
267,164,282,188,301,196,-0.8175374497992067
364,186,340,198,301,196,-0.8703494681570798
282,188,301,196,340,198,-0.9403001223834289
117,237,126,214,143,177,-0.9983355405719777
164,154,143,177,126,214,-0.9525522430855928
135,678,116,648,114,627,-0.8917413672010509
118,601,114,627,116,648,-0.9695031465845038
209,654,181,681,159,688,-0.8964226303490129
135,678,159,688,181,681,-0.7630070056749545
223,748,203,746,171,731,-0.9431980646504939
139,722,171,731,203,746,-0.9865544906553034
171,731,203,746,223,748,-0.9431980646504939
253,723,223,748,203,746,-0.700708014884254
85,373,81,360,35,334,-0.7263182084039038
13,338,35,334,81,360,-0.7684987038893795
867,623,857,604,845,596,-0.8783887681237508
827,587,845,596,857,604,-0.9922778767136676
839,761,814,771,800,781,-0.9713990064967776
785,793,800,781,814,771,-0.9985157079309462
698,905,713,892,728,888,-0.8989243337283873
762,868,728,888,713,892,-0.9634711040209741
353,966,366,925,376,906,-0.9843001614153117
388,877,376,906,366,925,-0.9957583163472421
